Provinsi;Produksi Tanaman Sayuran;;
;Cabai Besar (Ton);;Cabai Rawit (Ton)
;2021;;2021
ACEH;58.382;;51.686
SUMATERA UTARA;210.220;;78.663
SUMATERA BARAT;115.766;;35.118
RIAU;14.097;;6.694
JAMBI;59.855;;11.526
SUMATERA SELATAN;23.556;;11.562
BENGKULU;48.778;;16.278
LAMPUNG;34.550;;10.921
KEP. BANGKA BELITUNG;5.059;;3.954
KEP. RIAU;2.967;;1.627
DKI JAKARTA;0;;1
JAWA BARAT;343.067;;137.456
JAWA TENGAH;169.282;;179.287
DI YOGYAKARTA;38.378;;15.933
JAWA TIMUR;127.429;;578.883
BANTEN;6.406;;3.993
BALI;11.747;;29.175
NUSA TENGGARA BARAT;16.086;;62.539
NUSA TENGGARA TIMUR;3.218;;9.076
KALIMANTAN BARAT;2.791;;6.332
KALIMANTAN TENGAH;1.711;;6.961
KALIMANTAN SELATAN;8.977;;11.758
KALIMANTAN TIMUR;5.916;;8.367
KALIMANTAN UTARA;4.161;;5.819
SULAWESI UTARA;9.042;;17.371
SULAWESI TENGAH;6.528;;22.199
SULAWESI SELATAN;17.822;;26.423
SULAWESI TENGGARA;2.411;;4.287
GORONTALO;909;;13.032
SULAWESI BARAT;2.466;;3.336
MALUKU;2.029;;3.596
MALUKU UTARA;3.040;;3.733
PAPUA BARAT;911;;3.808
PAPUA;3.016;;5.054
INDONESIA;1.360.571;;1.386.447
;;;
